# timestamp [ms], type, package_type, source, dest, package_size
2114,SEND,DATA,AD,AB,197
2196,RECEIVE,ACK,AB,AD,0
3806,SEND,DATA,AD,AB,187
3888,RECEIVE,ACK,AB,AD,0
5351,SEND,DATA,AD,AB,169
5432,RECEIVE,ACK,AB,AD,0
6985,SEND,DATA,AD,AB,180
7066,RECEIVE,ACK,AB,AD,0
8653,SEND,DATA,AD,AB,184
8735,RECEIVE,ACK,AB,AD,0
10425,SEND,DATA,AD,AB,197
10507,RECEIVE,ACK,AB,AD,0
12076,SEND,DATA,AD,AB,182
12158,RECEIVE,ACK,AB,AD,0
13598,SEND,DATA,AD,AB,166
13679,RECEIVE,ACK,AB,AD,0
15372,SEND,DATA,AD,AB,197
15454,RECEIVE,ACK,AB,AD,0
17046,SEND,DATA,AD,AB,185
17128,RECEIVE,ACK,AB,AD,0
18810,SEND,DATA,AD,AB,196
18892,RECEIVE,ACK,AB,AD,0
20585,SEND,DATA,AD,AB,197
20667,RECEIVE,ACK,AB,AD,0
22303,SEND,DATA,AD,AB,190
22385,RECEIVE,ACK,AB,AD,0
23881,SEND,DATA,AD,AB,173
23962,RECEIVE,ACK,AB,AD,0
25409,SEND,DATA,AD,AB,167
25490,RECEIVE,ACK,AB,AD,0
27010,SEND,DATA,AD,AB,176
27091,RECEIVE,ACK,AB,AD,0
28629,SEND,DATA,AD,AB,178
28710,RECEIVE,ACK,AB,AD,0
30157,SEND,DATA,AD,AB,167
30238,RECEIVE,ACK,AB,AD,0
31709,SEND,DATA,AD,AB,170
31790,RECEIVE,ACK,AB,AD,0
33457,SEND,DATA,AD,AB,194
33539,RECEIVE,ACK,AB,AD,0
35059,SEND,DATA,AD,AB,176
35140,RECEIVE,ACK,AB,AD,0
36776,SEND,DATA,AD,AB,190
36858,RECEIVE,ACK,AB,AD,0
38551,SEND,DATA,AD,AB,197
38633,RECEIVE,ACK,AB,AD,0
40268,SEND,DATA,AD,AB,190
40350,RECEIVE,ACK,AB,AD,0
41877,SEND,DATA,AD,AB,177
41958,RECEIVE,ACK,AB,AD,0
43650,SEND,DATA,AD,AB,197
43732,RECEIVE,ACK,AB,AD,0
45422,SEND,DATA,AD,AB,197
45504,RECEIVE,ACK,AB,AD,0
47195,SEND,DATA,AD,AB,197
47277,RECEIVE,ACK,AB,AD,0
48723,SEND,DATA,AD,AB,167
48804,RECEIVE,ACK,AB,AD,0
50375,SEND,DATA,AD,AB,182
50457,RECEIVE,ACK,AB,AD,0
52147,SEND,DATA,AD,AB,197
52229,RECEIVE,ACK,AB,AD,0
53724,SEND,DATA,AD,AB,173
53805,RECEIVE,ACK,AB,AD,0
55498,SEND,DATA,AD,AB,197
55580,RECEIVE,ACK,AB,AD,0
57045,SEND,DATA,AD,AB,169
57126,RECEIVE,ACK,AB,AD,0
58817,SEND,DATA,AD,AB,197
58899,RECEIVE,ACK,AB,AD,0
60589,SEND,DATA,AD,AB,197
60671,RECEIVE,ACK,AB,AD,0
62200,SEND,DATA,AD,AB,177
62282,RECEIVE,ACK,AB,AD,0
